ROI,Subject,Effect,Session/Partition,LocalizerSize,EffectSize
1,208_KAN_evDB_20140121a_PL2017,N_hi, 1,37,2.363759
1,208_KAN_evDB_20140121a_PL2017,N_hm, 1,37,4.454614
1,208_KAN_evDB_20140121a_PL2017,N_lm, 1,37,3.585786
1,208_KAN_evDB_20140121a_PL2017,N_lo, 1,37,2.211139
1,208_KAN_evDB_20140121a_PL2017,AJ_hi, 1,37,4.353126
1,208_KAN_evDB_20140121a_PL2017,AJ_hm, 1,37,4.313957
1,208_KAN_evDB_20140121a_PL2017,AJ_lm, 1,37,1.374451
1,208_KAN_evDB_20140121a_PL2017,AJ_lo, 1,37,-1.140967
1,208_KAN_evDB_20140121a_PL2017,V_hi, 1,37,-0.794670
1,208_KAN_evDB_20140121a_PL2017,V_hm, 1,37,-1.072980
1,208_KAN_evDB_20140121a_PL2017,V_lm, 1,37,3.933479
1,208_KAN_evDB_20140121a_PL2017,V_lo, 1,37,2.926836
1,208_KAN_evDB_20140121a_PL2017,AV_hi, 1,37,1.128798
1,208_KAN_evDB_20140121a_PL2017,AV_hm, 1,37,-0.549491
1,208_KAN_evDB_20140121a_PL2017,AV_lm, 1,37,1.675821
1,208_KAN_evDB_20140121a_PL2017,AV_lo, 1,37,2.208089
1,208_KAN_evDB_20140121a_PL2017,FW_hi, 1,37,2.472789
1,208_KAN_evDB_20140121a_PL2017,FW_lo, 1,37,0.746489
1,209_KAN_evDB_20140224_PL2017,N_hi, 1,37,0.363363
1,209_KAN_evDB_20140224_PL2017,N_hm, 1,37,5.132438
1,209_KAN_evDB_20140224_PL2017,N_lm, 1,37,4.621574
1,209_KAN_evDB_20140224_PL2017,N_lo, 1,37,-0.586514
1,209_KAN_evDB_20140224_PL2017,AJ_hi, 1,37,1.958065
1,209_KAN_evDB_20140224_PL2017,AJ_hm, 1,37,3.969700
1,209_KAN_evDB_20140224_PL2017,AJ_lm, 1,37,-0.142194
1,209_KAN_evDB_20140224_PL2017,AJ_lo, 1,37,-2.954262
1,209_KAN_evDB_20140224_PL2017,V_hi, 1,37,1.728094
1,209_KAN_evDB_20140224_PL2017,V_hm, 1,37,-0.360485
1,209_KAN_evDB_20140224_PL2017,V_lm, 1,37,4.829185
1,209_KAN_evDB_20140224_PL2017,V_lo, 1,37,2.519680
1,209_KAN_evDB_20140224_PL2017,AV_hi, 1,37,-0.625982
1,209_KAN_evDB_20140224_PL2017,AV_hm, 1,37,-1.909076
1,209_KAN_evDB_20140224_PL2017,AV_lm, 1,37,1.601103
1,209_KAN_evDB_20140224_PL2017,AV_lo, 1,37,4.936017
1,209_KAN_evDB_20140224_PL2017,FW_hi, 1,37,5.929660
1,209_KAN_evDB_20140224_PL2017,FW_lo, 1,37,-4.279414
1,210_KAN_evDB_20140303a_PL2017,N_hi, 1,37,2.908934
1,210_KAN_evDB_20140303a_PL2017,N_hm, 1,37,-1.231518
1,210_KAN_evDB_20140303a_PL2017,N_lm, 1,37,2.659188
1,210_KAN_evDB_20140303a_PL2017,N_lo, 1,37,1.586012
1,210_KAN_evDB_20140303a_PL2017,AJ_hi, 1,37,-0.821177
1,210_KAN_evDB_20140303a_PL2017,AJ_hm, 1,37,-1.165138
1,210_KAN_evDB_20140303a_PL2017,AJ_lm, 1,37,1.524232
1,210_KAN_evDB_20140303a_PL2017,AJ_lo, 1,37,1.114593
1,210_KAN_evDB_20140303a_PL2017,V_hi, 1,37,2.686756
1,210_KAN_evDB_20140303a_PL2017,V_hm, 1,37,3.556475
1,210_KAN_evDB_20140303a_PL2017,V_lm, 1,37,1.354800
1,210_KAN_evDB_20140303a_PL2017,V_lo, 1,37,1.476985
1,210_KAN_evDB_20140303a_PL2017,AV_hi, 1,37,0.957380
1,210_KAN_evDB_20140303a_PL2017,AV_hm, 1,37,1.231920
1,210_KAN_evDB_20140303a_PL2017,AV_lm, 1,37,0.922919
1,210_KAN_evDB_20140303a_PL2017,AV_lo, 1,37,0.785985
1,210_KAN_evDB_20140303a_PL2017,FW_hi, 1,37,1.536027
1,210_KAN_evDB_20140303a_PL2017,FW_lo, 1,37,1.280817
1,211_KAN_evDB_20140303b_PL2017,N_hi, 1,37,2.082676
1,211_KAN_evDB_20140303b_PL2017,N_hm, 1,37,-0.709365
1,211_KAN_evDB_20140303b_PL2017,N_lm, 1,37,3.780633
1,211_KAN_evDB_20140303b_PL2017,N_lo, 1,37,1.174791
1,211_KAN_evDB_20140303b_PL2017,AJ_hi, 1,37,0.767109
1,211_KAN_evDB_20140303b_PL2017,AJ_hm, 1,37,1.286728
1,211_KAN_evDB_20140303b_PL2017,AJ_lm, 1,37,2.972731
1,211_KAN_evDB_20140303b_PL2017,AJ_lo, 1,37,3.807014
1,211_KAN_evDB_20140303b_PL2017,V_hi, 1,37,2.566792
1,211_KAN_evDB_20140303b_PL2017,V_hm, 1,37,2.998292
1,211_KAN_evDB_20140303b_PL2017,V_lm, 1,37,1.125899
1,211_KAN_evDB_20140303b_PL2017,V_lo, 1,37,2.130489
1,211_KAN_evDB_20140303b_PL2017,AV_hi, 1,37,3.485766
1,211_KAN_evDB_20140303b_PL2017,AV_hm, 1,37,5.595360
1,211_KAN_evDB_20140303b_PL2017,AV_lm, 1,37,2.413017
1,211_KAN_evDB_20140303b_PL2017,AV_lo, 1,37,1.929235
1,211_KAN_evDB_20140303b_PL2017,FW_hi, 1,37,2.878110
1,211_KAN_evDB_20140303b_PL2017,FW_lo, 1,37,4.176259
1,221_KAN_evDB_20140808_PL2017,N_hi, 1,37,4.515117
1,221_KAN_evDB_20140808_PL2017,N_hm, 1,37,0.171091
1,221_KAN_evDB_20140808_PL2017,N_lm, 1,37,1.634013
1,221_KAN_evDB_20140808_PL2017,N_lo, 1,37,3.131718
1,221_KAN_evDB_20140808_PL2017,AJ_hi, 1,37,1.407517
1,221_KAN_evDB_20140808_PL2017,AJ_hm, 1,37,6.449164
1,221_KAN_evDB_20140808_PL2017,AJ_lm, 1,37,3.681989
1,221_KAN_evDB_20140808_PL2017,AJ_lo, 1,37,-3.816305
1,221_KAN_evDB_20140808_PL2017,V_hi, 1,37,1.260741
1,221_KAN_evDB_20140808_PL2017,V_hm, 1,37,2.125620
1,221_KAN_evDB_20140808_PL2017,V_lm, 1,37,1.690242
1,221_KAN_evDB_20140808_PL2017,V_lo, 1,37,2.300881
1,221_KAN_evDB_20140808_PL2017,AV_hi, 1,37,-0.652654
1,221_KAN_evDB_20140808_PL2017,AV_hm, 1,37,-0.294993
1,221_KAN_evDB_20140808_PL2017,AV_lm, 1,37,5.883286
1,221_KAN_evDB_20140808_PL2017,AV_lo, 1,37,5.304398
1,221_KAN_evDB_20140808_PL2017,FW_hi, 1,37,5.361315
1,221_KAN_evDB_20140808_PL2017,FW_lo, 1,37,-0.296899
1,223_KAN_evDB_20140820a_PL2017,N_hi, 1,37,0.284003
1,223_KAN_evDB_20140820a_PL2017,N_hm, 1,37,2.759261
1,223_KAN_evDB_20140820a_PL2017,N_lm, 1,37,0.182504
1,223_KAN_evDB_20140820a_PL2017,N_lo, 1,37,1.400166
1,223_KAN_evDB_20140820a_PL2017,AJ_hi, 1,37,3.998450
1,223_KAN_evDB_20140820a_PL2017,AJ_hm, 1,37,0.008973
1,223_KAN_evDB_20140820a_PL2017,AJ_lm, 1,37,-1.519606
1,223_KAN_evDB_20140820a_PL2017,AJ_lo, 1,37,0.502023
1,223_KAN_evDB_20140820a_PL2017,V_hi, 1,37,0.165148
1,223_KAN_evDB_20140820a_PL2017,V_hm, 1,37,1.190796
1,223_KAN_evDB_20140820a_PL2017,V_lm, 1,37,3.309850
1,223_KAN_evDB_20140820a_PL2017,V_lo, 1,37,-1.274455
1,223_KAN_evDB_20140820a_PL2017,AV_hi, 1,37,1.265878
1,223_KAN_evDB_20140820a_PL2017,AV_hm, 1,37,1.441281
1,223_KAN_evDB_20140820a_PL2017,AV_lm, 1,37,-0.124242
1,223_KAN_evDB_20140820a_PL2017,AV_lo, 1,37,1.886280
1,223_KAN_evDB_20140820a_PL2017,FW_hi, 1,37,-1.702423
1,223_KAN_evDB_20140820a_PL2017,FW_lo, 1,37,0.995315
1,214_KAN_evDB_20141103b_PL2017,N_hi, 1,37,-0.795150
1,214_KAN_evDB_20141103b_PL2017,N_hm, 1,37,1.108835
1,214_KAN_evDB_20141103b_PL2017,N_lm, 1,37,1.291686
