ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,N_hi,1.440947,1.931567,0.482892
1,N_hm,0.986300,2.759306,0.689826
1,N_lm,1.884180,1.722530,0.430632
1,N_lo,1.544492,2.340387,0.585097
1,AJ_hi,1.650115,2.364397,0.591099
1,AJ_hm,1.642814,2.213052,0.553263
1,AJ_lm,1.689212,1.751395,0.437849
1,AJ_lo,0.616988,3.023939,0.755985
1,V_hi,1.606463,2.650967,0.662742
1,V_hm,2.017697,3.224116,0.806029
1,V_lm,1.219384,1.823869,0.455967
1,V_lo,0.902153,1.378507,0.344627
1,AV_hi,1.298577,1.855082,0.463771
1,AV_hm,1.359615,2.822555,0.705639
1,AV_lm,1.594996,1.572438,0.393109
1,AV_lo,1.837242,1.957037,0.489259
1,FW_hi,1.481006,2.494314,0.623579
1,FW_lo,1.495772,4.145267,1.036317
2,N_hi,1.855328,1.652449,0.413112
2,N_hm,0.632402,1.999222,0.499806
2,N_lm,1.240283,1.526778,0.381695
2,N_lo,2.170568,2.573592,0.643398
2,AJ_hi,1.925803,1.989741,0.497435
2,AJ_hm,1.927525,2.014973,0.503743
2,AJ_lm,1.082426,1.785800,0.446450
2,AJ_lo,0.061130,2.471705,0.617926
2,V_hi,1.524500,1.867797,0.466949
2,V_hm,1.881406,2.653213,0.663303
2,V_lm,1.162284,1.590936,0.397734
2,V_lo,0.830949,2.238718,0.559680
2,AV_hi,1.077176,1.792682,0.448171
2,AV_hm,0.998904,2.328365,0.582091
2,AV_lm,1.777747,1.590970,0.397743
2,AV_lo,1.945952,1.991896,0.497974
2,FW_hi,0.817906,2.269977,0.567494
2,FW_lo,2.130648,2.928752,0.732188
3,N_hi,1.657964,2.019813,0.504953
3,N_hm,0.828817,1.712046,0.428011
3,N_lm,1.420698,1.291872,0.322968
3,N_lo,1.408628,2.698296,0.674574
3,AJ_hi,1.224873,1.843867,0.460967
3,AJ_hm,1.547947,2.704066,0.676016
3,AJ_lm,1.286908,1.683128,0.420782
3,AJ_lo,0.451307,2.404547,0.601137
3,V_hi,1.408964,2.206547,0.551637
3,V_hm,1.608744,3.369088,0.842272
3,V_lm,1.165220,1.584890,0.396223
3,V_lo,1.011160,1.727113,0.431778
3,AV_hi,0.541996,1.986077,0.496519
3,AV_hm,0.748637,2.483719,0.620930
3,AV_lm,1.658615,1.858446,0.464612
3,AV_lo,1.612581,2.361289,0.590322
3,FW_hi,1.675212,1.918915,0.479729
3,FW_lo,1.422432,3.925376,0.981344
4,N_hi,0.897116,1.290766,0.322692
4,N_hm,0.140178,1.486406,0.371602
4,N_lm,0.305876,1.198130,0.299532
4,N_lo,1.042673,1.069121,0.267280
4,AJ_hi,0.642609,1.294274,0.323568
4,AJ_hm,0.799855,1.249714,0.312429
4,AJ_lm,0.571218,1.176456,0.294114
4,AJ_lo,-0.034209,1.498054,0.374514
4,V_hi,0.901776,0.923709,0.230927
4,V_hm,0.948314,1.386414,0.346604
4,V_lm,0.547891,0.911165,0.227791
4,V_lo,0.521893,0.887818,0.221955
4,AV_hi,0.428850,0.933619,0.233405
4,AV_hm,0.447373,1.026420,0.256605
4,AV_lm,0.816420,1.021606,0.255402
4,AV_lo,1.012623,1.288033,0.322008
4,FW_hi,0.365988,1.648409,0.412102
4,FW_lo,1.015350,1.782550,0.445638
5,N_hi,1.004946,1.449398,0.362350
5,N_hm,0.730500,1.256109,0.314027
5,N_lm,1.081648,1.080628,0.270157
5,N_lo,1.442237,1.493435,0.373359
5,AJ_hi,1.600692,1.674689,0.418672
5,AJ_hm,1.437861,1.494274,0.373568
5,AJ_lm,0.982916,1.343456,0.335864
5,AJ_lo,0.226793,1.390429,0.347607
5,V_hi,1.129204,1.302086,0.325522
5,V_hm,1.348570,1.954654,0.488663
5,V_lm,1.031646,1.241368,0.310342
5,V_lo,0.679789,1.132669,0.283167
5,AV_hi,1.033065,1.074892,0.268723
5,AV_hm,0.857800,1.369138,0.342285
5,AV_lm,1.087512,1.392775,0.348194
5,AV_lo,1.581127,1.577539,0.394385
5,FW_hi,0.934336,1.529583,0.382396
5,FW_lo,1.612798,2.554317,0.638579
